AGE	SEXE	REGION	STAT_MARI	SAL_HOR	SYNDICAT	CATEGORIE	NIV_ETUDES	NB_PERS	NB_ENF	REV_FOYER
53	F	S	M	8.00	non	3	39	3	0	9
57	F	NW	D	9.10	non	3	40	1	0	3
49	M	NW	M	20.00	non	1	39	3	0	13
62	F	S	M	25.50	non	2	42	2	0	15
23	F	NW	C	8.00	non	3	39	2	0	3
25	M	NE	C	22.00	non	5	42	5	0	16
34	F	NE	C	8.00	oui	3	40	6	1	15
29	M	S	D	12.00	non	8	40	1	0	8
30	M	W	C	20.00	oui	2	40	3	0	15
54	M	NE	M	43.00	non	2	41	3	0	14
51	M	W	D	22.00	non	7	40	1	0	10
51	M	S	M	14.75	oui	3	39	3	0	13
61	M	W	M	24.37	oui	7	39	3	0	13
40	M	NE	M	19.00	oui	7	39	5	3	5
66	M	NW	M	10.00	non	10	44	2	0	12
38	F	NE	M	28.00	non	3	39	4	2	14
47	F	S	D	20.60	non	3	39	4	0	1
31	F	W	M	10.00	non	5	39	5	3	12
63	M	S	M	23.23	oui	9	42	2	0	14
42	F	NE	C	7.59	non	9	44	3	2	8
32	M	W	C	13.00	non	6	35	4	2	8
28	F	W	C	12.00	non	5	40	2	1	6
62	F	NE	D	30.00	non	2	43	1	0	13
33	F	NE	M	14.00	non	5	43	2	0	14
39	M	NE	M	18.00	non	8	43	2	0	12
70	M	NW	M	60.00	non	2	43	3	0	16
51	F	NE	M	25.00	oui	3	39	3	0	15
37	M	NW	M	7.25	non	8	39	3	1	12
34	F	W	M	12.00	non	2	43	2	0	16
23	F	S	M	12.00	non	1	39	3	1	11
50	M	S	M	13.57	non	7	40	2	0	12
31	F	S	C	17.20	non	4	39	3	1	8
69	F	W	D	10.75	non	5	40	1	0	8
25	M	S	M	21.00	non	10	43	2	0	13
62	F	S	M	25.00	non	5	39	2	0	14
59	M	NE	M	21.00	non	9	36	2	0	11
25	F	W	M	9.00	non	6	35	13	2	9
61	M	S	M	29.50	non	1	40	3	0	15
41	M	S	D	42.00	non	2	43	1	0	14
61	F	W	D	24.00	oui	2	40	1	0	10
35	M	S	M	20.00	non	7	39	3	1	12
56	F	NW	M	11.00	non	5	39	5	0	14
23	F	S	C	9.15	non	4	39	3	1	8
25	M	W	M	8.00	oui	7	39	6	0	1
29	M	NW	M	13.50	non	9	39	4	2	9
44	M	S	C	55.00	non	2	44	1	0	13
23	M	NE	C	11.50	non	4	39	2	0	11
21	F	W	C	12.00	non	5	39	5	1	14
32	F	S	M	26.10	non	2	41	2	0	13
19	M	S	C	7.25	oui	3	39	6	1	2
24	F	NE	C	10.00	non	3	39	3	0	7
19	M	NW	M	9.00	non	9	39	4	1	10
53	M	S	M	10.00	non	7	39	2	0	6
50	F	NW	M	10.10	non	4	41	4	0	12
31	M	W	C	5.44	non	3	39	4	2	2
38	M	NW	D	15.00	oui	8	39	3	0	16
23	M	NE	C	9.50	non	3	40	1	0	4
48	M	S	M	22.40	non	4	43	6	0	15
65	F	S	D	9.30	non	4	39	1	0	7
21	F	W	C	14.00	non	4	40	3	0	11
22	F	NW	C	3.00	non	3	40	2	0	15
56	M	W	M	20.00	oui	5	43	2	0	15
28	M	NW	C	26.30	oui	9	39	2	0	7
30	F	S	M	11.50	non	9	39	3	1	14
45	F	NE	M	20.20	non	4	39	3	0	11
25	M	W	C	23.13	oui	1	43	2	0	9
29	F	NW	M	13.36	non	2	42	5	3	14
39	M	NE	C	18.20	non	9	39	2	0	9
55	M	NW	M	14.50	non	8	40	2	0	12
16	M	NE	C	8.00	non	6	36	4	0	12
40	F	NE	M	12.50	non	5	40	4	2	14
42	F	W	C	23.00	oui	3	44	1	0	13
25	F	NE	S	11.40	non	5	40	2	1	11
44	F	NE	D	25.00	non	3	39	2	1	9
80	M	W	M	12.50	oui	4	40	4	0	12
40	F	NW	M	10.00	non	3	40	3	1	11
